,estimate,estimate,estimate,estimate,estimate,estimate,stddev,stddev,stddev,stddev,stddev,stddev
indicator,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability
AZE,-1.040907382965088,-0.041207097470760345,-0.9228072762489319,-0.6255521774291992,-0.10334420204162598,-1.4416266679763794,0.1855008453130722,0.290294349193573,0.23976460099220276,0.17340274155139923,0.2519288957118988,0.12986938655376434
BDI,-1.5181812047958374,-1.2636061906814575,-1.192446231842041,-1.2765462398529053,-0.9474856853485107,-1.3963536024093628,0.1893632709980011,0.2260058969259262,0.24822673201560974,0.163450226187706,0.19287444651126862,0.12978214025497437
BEL,1.4949735403060913,1.2271864414215088,0.5819815993309021,1.3482308387756348,1.2529551982879639,1.2970925569534302,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10955864936113358
BEN,-0.08985728770494461,-0.17059023678302765,-0.34320268034935,-0.5961093902587891,-0.3483646512031555,-0.33569401502609253,0.15856721997261047,0.21148386597633362,0.24079777300357819,0.14867724478244781,0.18023695051670074,0.12386129796504974
BFA,-0.11163946986198425,-0.8531486988067627,-1.8153693675994873,-0.6119337677955627,-0.46830567717552185,-0.6840450167655945,0.15186360478401184,0.21358272433280945,0.23304978013038635,0.14973540604114532,0.17477242648601532,0.12050865590572357
BGD,-1.075751781463623,-0.7633553147315979,-1.046462059020996,-0.6016901135444641,-0.9276589155197144,-0.7533016204833984,0.1536072939634323,0.24602223932743073,0.2195393592119217,0.1626395285129547,0.1925405114889145,0.1256440281867981
BGR,-0.1582060307264328,-0.2712329626083374,0.3134286403656006,-0.10792271047830582,0.3206869065761566,0.2875121235847473,0.14452265202999115,0.2253308743238449,0.22655731439590454,0.14843900501728058,0.2129831314086914,0.10261274129152298
BHR,0.1395203173160553,0.6397200226783752,-0.36290544271469116,0.43830931186676025,0.9706335067749023,-1.4184097051620483,0.18275173008441925,0.24794547259807587,0.23271167278289795,0.17667126655578613,0.2317415177822113,0.13605143129825592
BHS,1.2564488649368286,0.4239504039287567,0.8812392354011536,0.1345403641462326,-0.14648596942424774,0.8723083734512329,0.20492857694625854,0.32751378417015076,0.23304978013038635,0.18708160519599915,0.2550051808357239,0.1570756435394287
BIH,-0.6843156218528748,-1.0649607181549072,-0.48319369554519653,-0.306983083486557,-0.1576153188943863,-0.3247302770614624,0.17183542251586914,0.2850892245769501,0.24079777300357819,0.16052699089050293,0.2409442514181137,0.12805315852165222
